file,reason
angry_00233.png,internal_exact_duplicate
angry_00443.png,test_perceptual_collision_hamming_le_4
angry_00669.png,test_perceptual_collision_hamming_le_4
angry_00902.png,test_perceptual_collision_hamming_le_4
angry_00913.png,internal_exact_duplicate
angry_00963.png,internal_exact_duplicate
angry_01021.png,internal_exact_duplicate
angry_01047.png,internal_exact_duplicate
angry_01147.png,internal_exact_duplicate
angry_01331.png,test_perceptual_collision_hamming_le_4
angry_01332.png,test_perceptual_collision_hamming_le_4
angry_01399.png,internal_exact_duplicate
fear_00213.png,internal_exact_duplicate
fear_00500.png,internal_exact_duplicate
fear_00526.png,test_perceptual_collision_hamming_le_4
fear_00600.png,internal_exact_duplicate
fear_00616.png,internal_exact_duplicate
fear_00642.png,test_perceptual_collision_hamming_le_4
fear_00720.png,internal_exact_duplicate
fear_00828.png,internal_exact_duplicate
fear_00847.png,internal_exact_duplicate
fear_00876.png,internal_exact_duplicate
fear_00931.png,internal_exact_duplicate
fear_00956.png,internal_exact_duplicate
fear_01016.png,internal_exact_duplicate
fear_01027.png,test_perceptual_collision_hamming_le_4
fear_01051.png,internal_exact_duplicate
fear_01165.png,internal_exact_duplicate
fear_01227.png,internal_exact_duplicate
fear_01274.png,internal_exact_duplicate
fear_01285.png,internal_exact_duplicate
fear_01329.png,internal_exact_duplicate
fear_01421.png,internal_exact_duplicate
fear_01474.png,internal_exact_duplicate
sad_00002.png,test_perceptual_collision_hamming_le_4
sad_00099.png,test_perceptual_collision_hamming_le_4
sad_00655.png,internal_exact_duplicate
sad_00675.png,internal_exact_duplicate
sad_00712.png,internal_exact_duplicate
sad_00741.png,test_perceptual_collision_hamming_le_4
sad_00885.png,test_perceptual_collision_hamming_le_4
sad_00909.png,internal_exact_duplicate
sad_00961.png,internal_exact_duplicate
sad_01000.png,internal_exact_duplicate
